Green Chemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07D,C07C,C12N,C12P,A61K,B01J,C08G,A61Q,C01B,C07B,C09D,C07F,C08J,A61P,B01D,A01N,C08F,C08L,C10G,C12R,B22F,B82Y,C07K,C09K,C12Q,D21H,G01N,A61L,C07H,C08H,C08K,H01L,A01H,A23K,A23L,C04B,C08B,C09J,C10J,C22B,C25B,D21C,H01M,A61B,B32B,B41J,B41M,B62D,B65D,C02F,
Número,52,48,47,47,37,34,22,13,11,10,10,9,8,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,C12N,B01J,C12P,A61K,C08G,C01B,C07F,A61Q,C09D,A01N,C08J,C07H,C07K,B01D,C08F,C08L,C07B,C08B,A01P,A61L,C12Q,C12R,G01N,A61P,B22F,B82Y,C04B,C07J,C08H,C09K,C13K,B05D,C01F,C02F,C22B,C25B,A01H,A23K,A23L,B01F,C05F,C08K,C10L,H01M,B29B,B33Y,B65D,C03C,
Número,72,53,52,44,44,43,20,18,18,15,15,14,14,11,10,9,9,9,8,8,7,7,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07D,C07C,A61K,B01J,C12N,C08G,C12P,C08J,C09D,A61Q,C08L,C07F,C08F,C12Q,C07K,C08K,G01N,C09J,H01M,A01N,C01B,C08B,C09K,D21H,H01L,A61P,A61L,B01D,C07B,C08H,C22B,C25B,A01P,A23J,B22F,B82Y,C02F,C07H,C10L,D01F,D21C,A23L,C01F,C04B,D06M,G06F,A01H,A23K,C01G,C10M,
Número,87,78,58,46,38,36,35,30,26,21,20,16,15,15,12,12,12,11,11,10,10,10,10,10,10,9,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07D,C07C,C12N,A61K,B01J,C12P,C08G,C07F,C12Q,C09D,C08L,C08J,G01N,G06F,A01N,C01B,C08K,A61P,C07B,B01F,C08F,C09J,C10L,A23L,C07K,C09K,B01D,C10G,A61L,C08B,H01M,A61Q,B82Y,C02F,C07H,C11D,A01H,C01G,C04B,C12R,C30B,A23J,B02C,B22F,B32B,C07G,C12M,C22B,C23C,D01F,
Número,90,75,57,48,46,38,33,23,23,22,21,20,20,16,14,14,14,12,11,9,9,9,9,8,8,8,7,7,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,A61K,C07C,C07D,C12N,C12P,B01J,C08G,A61Q,A61P,A01N,C07F,C07H,B01D,C08F,C08L,C09D,C09K,G01N,C01B,C08B,C10G,C12Q,H01M,C08J,C09J,C10L,C07K,H01L,C02F,C08K,G06F,B82Y,C11D,D21C,H01J,A01H,A01P,A61L,B01F,C07B,A23K,A23L,B32B,C09C,C12R,C23C,C40B,D06F,A61B,B08B,
Número,88,73,70,70,43,39,29,24,22,19,18,16,12,12,12,11,10,10,9,9,9,9,9,8,8,8,7,7,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,A61K,C12P,C12N,C08G,B01J,C08L,A01N,C07F,A61Q,H01M,C02F,B01D,A61P,G01N,C07B,C08J,C12Q,C01B,C09K,G06F,C04B,C07H,C08K,H01G,H01L,C09D,C40B,C08F,C10G,C10L,D21C,A23L,B01F,B82Y,C08B,C09J,C11B,A61L,B28B,B29C,B32B,C01F,C07K,C09C,C11D,C12R,C25D,A01P,
Número,80,62,47,45,44,43,35,26,20,17,16,16,15,14,13,11,10,10,10,9,9,9,8,8,8,8,7,6,6,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C12N,A61K,C12P,B01J,C07D,C08G,C08L,A61Q,C07K,C09K,A61P,C02F,C07B,C08F,A01H,C01B,C07H,C09D,A01N,C04B,C08B,C10L,C11D,C12Q,G01N,B01D,B82Y,C07F,C10G,H01L,H01M,A61L,C01G,C08J,A01P,C08K,C09C,C12R,C25B,D21C,H01B,A23K,A23L,B01F,B22F,B28B,C05F,C05G,C23F,
Número,84,80,48,48,45,44,26,17,14,13,11,10,10,9,9,8,8,8,8,7,7,7,7,7,7,7,6,6,5,5,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,C12N,A61K,C12P,B01J,C07K,C08G,C08F,C11D,C12Q,C08L,C07H,A61P,C09K,A01N,C02F,C08K,B01D,C07B,C07F,G03F,A01H,A61Q,B82Y,C09D,G01N,H01M,C01B,C25B,B32B,C08B,C10M,A61L,B01L,C08J,C09C,C40B,D03D,H01B,A23K,B05D,B22F,C09B,C10G,D02G,D04B,D21B,D21C,D21H, 
Número,58,58,46,35,28,23,16,14,13,12,12,11,10,9,9,8,8,8,7,7,7,7,6,6,6,6,6,6,5,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07D,C07C,C12N,B01J,A61K,C12Q,C08G,C07F,C08L,A61P,C08F,C10L,C12P,G01N,A01N,C07K,C09D,A01H,C08K,A01P,C02F,C07B,C07H,C09K,B22F,B82Y,C01G,C08B,A61Q,C01B,C11D,H01M,B01D,B32B,B82B,C04B,C11C,D06M,D21H,E21B,A23L,A61L,B01F,B05D,C07G,C08J,C10G,C11B,C12M,D21C,
Número,45,42,27,26,25,17,16,15,14,13,11,10,10,9,8,8,8,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07C,C07D,C08G,B01J,A61K,C12N,A01N,G01N,C08L,C12Q,C01B,C08B,C08F,C08K,C11D,A61P,C08J,C12P,C07H,C09K,C10G,C07B,C07F,A01P,A61Q,B01D,C04B,C09D,C10M,C07K,A01H,B22F,B32B,C11C,C40B,H01M,A61L,B01F,C02F,C10L,G03F,H01J,A01K,A23L,B05B,B29C,B82B,C01G,C07G,C09B,
Número,52,45,25,22,20,17,16,16,15,13,12,12,11,11,10,9,9,9,8,8,8,7,7,6,6,6,6,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código ICP,C07D,C07C,C12N,C12P,A61K,C08G,C08F,A61P,C07B,C07K,C07F,A01H,G01N,B01J,C07H,A01N,C12Q,C04B,C08J,C10M,C08L,C10G,B82B,C08K,C09D,C10L,B22F,C11B,C11D,C13K,G06F,A01P,A61Q,B01D,B41J,C08B,C09C,C25D,H01G,A61B,A61F,A61L,B01F,B03C,B21D,B32B,C01G,C09B,C09J,C09K,
Número,60,46,30,19,16,16,14,12,11,11,10,9,9,8,8,7,7,6,6,6,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
